state,x,y
Andhra Pradesh,-77,-250
Arunachal Pradesh,293,174
Assam,262,105
Bihar,80,86
Chhattisgarh,-15,-36
Goa,-217,-202
Gujarat,-310,-10
Haryana,-145,187
Himachal Pradesh,-170,290
Jammu and Kashmir,-170,304
Jharkhand,83,20
Karnataka,-225,-300
Kerala,-180,-450
Madhya Pradesh,-150,5
Maharashtra,-250,-150
Manipur,345,40
Meghalaya,250,75
Mizoram,310,5
Nagaland,355,85
Odisha,56,-62
Punjab,-168,227
Rajasthan,-280,109
Sikkim,170,130
Tamil Nadu,-118,-400
Telangana,-85,-100
Tripura,260,15
Uttarakhand,-125,230
Uttar Pradesh,-62,136
West Bengal,127,-10
Andaman and Nicobar Islands,277,-266
Chandigarh,-136,225
Daman and Diu,-299,-57
Delhi,-180,166
Lakshadweep,-284,-284
Puducherry,-90,-400
Ladakh,-150,400
